Taxonomy Type,positive,negative,neutral,total,positive_pct,negative_pct,net_sentiment
Functionality,14581,4321,7073,25975,56.1,16.6,39.5
General,5068,1437,3242,9747,52,14.7,37.3
Usability,9536,7971,5172,22679,42,35.1,6.9
Performance,455,474,1101,2030,22.4,23.3,-0.9
Expectation Gap,833,926,1006,2765,30.1,33.5,-3.4
Reliability,829,1675,1808,4312,19.2,38.8,-19.6
